kind,case_label,channel,metric,replay,original,abs_diff,tolerance,pass
tc,random_p080,joint,tc_bootstrap_median,0.9082802511148098,0.9082802511148098,0.0,5e-10,True
tc,random_p080,joint,tc_bootstrap_ci_low,0.8959381141454937,0.8959381141454937,0.0,5e-10,True
tc,random_p080,joint,tc_bootstrap_ci_high,0.9193986253905903,0.9193986253905904,1.1102230246251565e-16,5e-10,True
nu,random_p080,binder_roa,nu_bootstrap_median,1.1777390371084409,1.1777390371084409,0.0,5e-10,True
nu,random_p080,binder_roa,nu_bootstrap_ci_low,0.8915099327963333,0.8915099327963333,0.0,5e-10,True
nu,random_p080,binder_roa,nu_bootstrap_ci_high,1.335,1.335,0.0,5e-10,True
nu,random_p080,binder_roa,bootstrap_boundary_fraction,0.3065,0.3065,0.0,5e-10,True
nu,random_p080,binder_roa,bootstrap_valid_fraction,1.0,1.0,0.0,5e-10,True
nu,random_p080,xi_over_L,nu_bootstrap_median,1.1974948252421815,1.1974948252421815,0.0,5e-10,True
nu,random_p080,xi_over_L,nu_bootstrap_ci_low,0.943742199660673,0.943742199660673,0.0,5e-10,True
nu,random_p080,xi_over_L,nu_bootstrap_ci_high,1.335,1.335,0.0,5e-10,True
nu,random_p080,xi_over_L,bootstrap_boundary_fraction,0.304,0.304,0.0,5e-10,True
nu,random_p080,xi_over_L,bootstrap_valid_fraction,1.0,1.0,0.0,5e-10,True
tc,random_p085,joint,tc_bootstrap_median,1.0800697767187482,1.0800697767187482,0.0,5e-10,True
tc,random_p085,joint,tc_bootstrap_ci_low,1.0700280899383632,1.0700280899383632,0.0,5e-10,True
tc,random_p085,joint,tc_bootstrap_ci_high,1.089611222160104,1.089611222160104,0.0,5e-10,True
nu,random_p085,binder_roa,nu_bootstrap_median,1.1901154802264575,1.1901154802264575,0.0,5e-10,True
nu,random_p085,binder_roa,nu_bootstrap_ci_low,0.9088313661809261,0.908831366180926,1.1102230246251565e-16,5e-10,True
nu,random_p085,binder_roa,nu_bootstrap_ci_high,1.235,1.235,0.0,5e-10,True
nu,random_p085,binder_roa,bootstrap_boundary_fraction,0.413,0.413,0.0,5e-10,True
nu,random_p085,binder_roa,bootstrap_valid_fraction,1.0,1.0,0.0,5e-10,True
nu,random_p085,xi_over_L,nu_bootstrap_median,1.165308393794266,1.165308393794266,0.0,5e-10,True
nu,random_p085,xi_over_L,nu_bootstrap_ci_low,1.033063268465414,1.033063268465414,0.0,5e-10,True
nu,random_p085,xi_over_L,nu_bootstrap_ci_high,1.235,1.235,0.0,5e-10,True
nu,random_p085,xi_over_L,bootstrap_boundary_fraction,0.3595,0.3595,0.0,5e-10,True
nu,random_p085,xi_over_L,bootstrap_valid_fraction,1.0,1.0,0.0,5e-10,True
tc,random_p090,joint,tc_bootstrap_median,1.2397666006591017,1.2397666006591015,2.220446049250313e-16,5e-10,True
tc,random_p090,joint,tc_bootstrap_ci_low,1.2329383868359922,1.2329383868359922,0.0,5e-10,True
tc,random_p090,joint,tc_bootstrap_ci_high,1.2461057027909677,1.2461057027909677,0.0,5e-10,True
nu,random_p090,binder_roa,nu_bootstrap_median,1.0580551707408654,1.0580551707408654,0.0,5e-10,True
nu,random_p090,binder_roa,nu_bootstrap_ci_low,0.8738002780148916,0.8738002780148916,0.0,5e-10,True
nu,random_p090,binder_roa,nu_bootstrap_ci_high,1.235,1.235,0.0,5e-10,True
nu,random_p090,binder_roa,bootstrap_boundary_fraction,0.057,0.057,0.0,5e-10,True
nu,random_p090,binder_roa,bootstrap_valid_fraction,1.0,1.0,0.0,5e-10,True
nu,random_p090,xi_over_L,nu_bootstrap_median,1.1265133174307,1.1265133174307,0.0,5e-10,True
nu,random_p090,xi_over_L,nu_bootstrap_ci_low,1.0400440188213103,1.0400440188213105,2.220446049250313e-16,5e-10,True
nu,random_p090,xi_over_L,nu_bootstrap_ci_high,1.235,1.235,0.0,5e-10,True
nu,random_p090,xi_over_L,bootstrap_boundary_fraction,0.217,0.217,0.0,5e-10,True
nu,random_p090,xi_over_L,bootstrap_valid_fraction,1.0,1.0,0.0,5e-10,True
tc,pristine_p100,joint,tc_bootstrap_median,1.5178112204336116,1.5178112204336116,0.0,5e-10,True
tc,pristine_p100,joint,tc_bootstrap_ci_low,1.517135306633826,1.517135306633826,0.0,5e-10,True
tc,pristine_p100,joint,tc_bootstrap_ci_high,1.5186802580716825,1.5186802580716825,0.0,5e-10,True
nu,pristine_p100,binder_roa,nu_bootstrap_median,1.0146186124455596,1.0146186124455596,0.0,5e-10,True
nu,pristine_p100,binder_roa,nu_bootstrap_ci_low,0.978544780958762,0.978544780958762,0.0,5e-10,True
nu,pristine_p100,binder_roa,nu_bootstrap_ci_high,1.046098221139132,1.046098221139132,0.0,5e-10,True
nu,pristine_p100,binder_roa,bootstrap_boundary_fraction,0.0,0.0,0.0,5e-10,True
nu,pristine_p100,binder_roa,bootstrap_valid_fraction,1.0,1.0,0.0,5e-10,True
nu,pristine_p100,xi_over_L,nu_bootstrap_median,1.0019765725664354,1.0019765725664354,0.0,5e-10,True
nu,pristine_p100,xi_over_L,nu_bootstrap_ci_low,0.9820956939161819,0.982095693916182,1.1102230246251565e-16,5e-10,True
nu,pristine_p100,xi_over_L,nu_bootstrap_ci_high,1.0271589646263424,1.0271589646263424,0.0,5e-10,True
nu,pristine_p100,xi_over_L,bootstrap_boundary_fraction,0.0,0.0,0.0,5e-10,True
nu,pristine_p100,xi_over_L,bootstrap_valid_fraction,1.0,1.0,0.0,5e-10,True
