case_label,L,temperature,n,energy_pass_n,energy_pass_fraction,mag_pass_n,mag_pass_fraction,joint_pass_n,joint_pass_fraction,essE_min,essE_p10,essE_median,essM_min,essM_p10,essM_median,tauE_max,tauE_median,tauM_max,tauM_median,measurement_stride_min,measurement_stride_max,realization_threshold,required_pass_fraction,energy_cell_pass,joint_cell_pass,primary_mask_metric,primary_source_cell_pass
pristine_p100,40,1.42,10,10,1.0,10,1.0,10,1.0,2982.003899134281,2999.566517702768,3093.6616487720335,3180.027034694322,3180.6474909905814,3318.316864621146,1.6767248364267977,1.6162476777304986,1.57231367703785,1.506875379434353,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,40,1.43,10,10,1.0,10,1.0,10,1.0,2620.53850073949,2675.882022563246,2903.81985796961,2954.5435010912265,2970.8097118058695,3175.850245713773,1.9080047855007856,1.7219088385800447,1.6923088112100255,1.5743886041347839,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,40,1.44,10,10,1.0,10,1.0,10,1.0,2542.414875712338,2609.6909622817266,2909.5406570493624,2892.6354719489996,2952.2990454141277,3218.8561244383354,1.9666341822355375,1.718534525209626,1.7285275135726317,1.5533473312891881,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,40,1.45,10,10,1.0,10,1.0,10,1.0,2343.619835639068,2406.8093999099096,2689.8021508989686,2694.4906314181053,2714.234400489531,2947.240716776111,2.133451818407476,1.8589395407220024,1.8556382945627496,1.6973544348587555,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,40,1.46,10,10,1.0,10,1.0,10,1.0,2169.551486529812,2209.7612850358105,2535.927481217842,2522.993871935626,2623.8781969911306,2841.605494128276,2.304623804064442,1.971680005688142,1.981772550309062,1.7596039777186032,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,40,1.47,10,10,1.0,10,1.0,10,1.0,2054.8583715957734,2127.009331751631,2175.830817262522,2296.8737009313277,2431.8638799800074,2588.4757826850782,2.4332577218531477,2.2980385721015963,2.1768719794965734,1.9321789824465883,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,40,1.48,10,10,1.0,10,1.0,10,1.0,1710.7990703851929,1728.7500199248047,1913.4912001064406,2121.72290649491,2133.0736853157655,2273.5363919867523,2.9226108936768544,2.6130264426256353,2.356575396671382,2.199226414848155,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,40,1.49,10,10,1.0,10,1.0,10,1.0,1609.6531113362175,1614.8598044852813,1779.0666937989863,1785.8326396864866,1800.3236691536054,2091.0706350644523,3.106259333012044,2.8104630364020284,2.7998144332706225,2.3912808110486115,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,40,1.5,10,10,1.0,10,1.0,10,1.0,1222.378251539733,1293.2067277820272,1456.6321868763575,1524.820185534577,1533.3299414026521,1800.7228391041158,4.090386910681613,3.4326609867613422,3.2790751640312803,2.7767675612737275,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,40,1.51,10,10,1.0,10,1.0,10,1.0,1067.8325582035798,1067.985531213217,1194.7976115036508,1351.4008830155558,1368.9432142799587,1495.535268479926,4.682382047248612,4.1848091914323895,3.69986438727408,3.3433236586007724,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
