case_label,channel,L,temperature_index,temperature,affected_draws,total_draws,affected_draw_fraction
pristine_p100,binder_roa,60,17,1.59,2000,2000,1.0
pristine_p100,binder_roa,80,15,1.57,2000,2000,1.0
pristine_p100,binder_roa,80,16,1.58,24,2000,0.012
pristine_p100,binder_roa,100,13,1.55,2000,2000,1.0
pristine_p100,binder_roa,100,14,1.56,2000,2000,1.0
pristine_p100,binder_roa,100,15,1.57,1999,2000,0.9995
pristine_p100,binder_roa,120,13,1.55,2000,2000,1.0
pristine_p100,binder_roa,120,14,1.56,2000,2000,1.0
pristine_p100,xi_over_L,60,17,1.59,2000,2000,1.0
pristine_p100,xi_over_L,80,15,1.57,2000,2000,1.0
pristine_p100,xi_over_L,80,16,1.58,68,2000,0.034
pristine_p100,xi_over_L,100,13,1.55,2000,2000,1.0
pristine_p100,xi_over_L,100,14,1.56,2000,2000,1.0
pristine_p100,xi_over_L,100,15,1.57,1882,2000,0.941
pristine_p100,xi_over_L,120,13,1.55,2000,2000,1.0
pristine_p100,xi_over_L,120,14,1.56,2000,2000,1.0
random_p085,binder_roa,100,12,1.1399919984,25,2000,0.0125
random_p085,binder_roa,120,11,1.1299919984,1434,2000,0.717
random_p085,binder_roa,120,12,1.1399919984,1,2000,0.0005
random_p085,xi_over_L,100,12,1.1399919984,134,2000,0.067
random_p085,xi_over_L,120,11,1.1299919984,1421,2000,0.7105
random_p085,xi_over_L,120,12,1.1399919984,20,2000,0.01
random_p090,binder_roa,80,12,1.299967993599,1632,2000,0.816
random_p090,binder_roa,100,11,1.289967993599,1983,2000,0.9915
random_p090,binder_roa,120,10,1.279967993599,2000,2000,1.0
random_p090,binder_roa,120,11,1.289967993599,164,2000,0.082
random_p090,xi_over_L,80,12,1.299967993599,1961,2000,0.9805
random_p090,xi_over_L,80,13,1.309967993599,4,2000,0.002
random_p090,xi_over_L,100,11,1.289967993599,2000,2000,1.0
random_p090,xi_over_L,100,12,1.299967993599,213,2000,0.1065
random_p090,xi_over_L,120,10,1.279967993599,2000,2000,1.0
random_p090,xi_over_L,120,11,1.289967993599,812,2000,0.406
random_p090,xi_over_L,120,12,1.299967993599,2,2000,0.001
