case_label,p,window,channel,tc_joint,declared_lo,declared_hi,symmetric_lo,symmetric_hi,asymmetric_feasible_min,asymmetric_feasible_max,n_feasible_segments,segments_json,feasible_grid_count,includes_nu1,scan_points
random_p080,0.8,full,binder_roa,0.9087609421526524,0.55,1.45,0.665,1.335,0.665,1.45,1,"[[0.665,1.45]]",158,True,181
random_p080,0.8,full,xi_over_L,0.9087609421526524,0.55,1.45,0.665,1.335,0.665,1.45,1,"[[0.665,1.45]]",158,True,181
random_p080,0.8,drop_smallest,binder_roa,0.9087609421526524,0.55,1.45,0.55,1.45,0.55,1.45,1,"[[0.55,1.45]]",181,True,181
random_p080,0.8,drop_smallest,xi_over_L,0.9087609421526524,0.55,1.45,0.55,1.45,0.55,1.45,1,"[[0.55,1.45]]",181,True,181
random_p080,0.8,diagnostic_large_only,binder_roa,0.9087609421526524,0.55,1.45,0.55,1.45,0.55,1.45,1,"[[0.55,1.45]]",181,True,181
random_p080,0.8,diagnostic_large_only,xi_over_L,0.9087609421526524,0.55,1.45,0.55,1.45,0.55,1.45,1,"[[0.55,1.45]]",181,True,181
random_p085,0.85,full,binder_roa,1.0798427069949166,0.55,1.45,0.765,1.2349999999999999,0.765,1.45,1,"[[0.765,1.45]]",138,True,181
random_p085,0.85,full,xi_over_L,1.0798427069949166,0.55,1.45,0.765,1.2349999999999999,0.765,1.45,1,"[[0.765,1.45]]",138,True,181
random_p085,0.85,drop_smallest,binder_roa,1.0798427069949166,0.55,1.45,0.63,1.37,0.63,1.45,1,"[[0.63,1.45]]",165,True,181
random_p085,0.85,drop_smallest,xi_over_L,1.0798427069949166,0.55,1.45,0.63,1.37,0.63,1.45,1,"[[0.63,1.45]]",165,True,181
random_p085,0.85,diagnostic_large_only,binder_roa,1.0798427069949166,0.55,1.45,0.55,1.45,0.55,1.45,1,"[[0.55,1.45]]",181,True,181
random_p085,0.85,diagnostic_large_only,xi_over_L,1.0798427069949166,0.55,1.45,0.55,1.45,0.55,1.45,1,"[[0.55,1.45]]",181,True,181
random_p090,0.9,full,binder_roa,1.239830989964605,0.55,1.45,0.765,1.2349999999999999,0.765,1.45,1,"[[0.765,1.45]]",138,True,181
random_p090,0.9,full,xi_over_L,1.239830989964605,0.55,1.45,0.765,1.2349999999999999,0.765,1.45,1,"[[0.765,1.45]]",138,True,181
random_p090,0.9,drop_smallest,binder_roa,1.239830989964605,0.55,1.45,0.63,1.37,0.63,1.45,1,"[[0.63,1.45]]",165,True,181
random_p090,0.9,drop_smallest,xi_over_L,1.239830989964605,0.55,1.45,0.63,1.37,0.63,1.45,1,"[[0.63,1.45]]",165,True,181
random_p090,0.9,diagnostic_large_only,binder_roa,1.239830989964605,0.55,1.45,0.55,1.45,0.55,1.45,1,"[[0.55,1.45]]",181,True,181
random_p090,0.9,diagnostic_large_only,xi_over_L,1.239830989964605,0.55,1.45,0.55,1.45,0.55,1.45,1,"[[0.55,1.45]]",181,True,181
pristine_p100,1.0,full,binder_roa,1.5177776238489953,0.55,1.45,0.795,1.205,0.795,1.45,1,"[[0.795,1.45]]",132,True,181
pristine_p100,1.0,full,xi_over_L,1.5177776238489953,0.55,1.45,0.795,1.205,0.795,1.45,1,"[[0.795,1.45]]",132,True,181
pristine_p100,1.0,drop_smallest,binder_roa,1.5177776238489953,0.55,1.45,0.73,1.27,0.73,1.45,1,"[[0.73,1.45]]",145,True,181
pristine_p100,1.0,drop_smallest,xi_over_L,1.5177776238489953,0.55,1.45,0.73,1.27,0.73,1.45,1,"[[0.73,1.45]]",145,True,181
pristine_p100,1.0,diagnostic_large_only,binder_roa,1.5177776238489953,0.55,1.45,0.55,1.45,0.55,1.45,1,"[[0.55,1.45]]",181,True,181
pristine_p100,1.0,diagnostic_large_only,xi_over_L,1.5177776238489953,0.55,1.45,0.55,1.45,0.55,1.45,1,"[[0.55,1.45]]",181,True,181
